author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
wYZKqMof,827.0,5.388888888888889,1.9032407407407408,2.0555555555555554
rRCWurKU,1658.7,4.891304347826087,1.9346273291925467,2.0652173913043477
ECBCyTsY,624.9,4.6923076923076925,1.308974358974359,2.076923076923077
hgwYhFmc,2055.3,3.958904109589041,1.9623287671232876,2.0821917808219177
ZYuDgAMD,1365.8,3.3863636363636362,1.8465909090909092,2.090909090909091
zVPUdaFk,2013.5,3.925925925925926,1.3839285714285714,2.0925925925925926
hZfuLqDU,1866.6,4.4186046511627906,1.4326990838618747,2.0930232558139537
CaCcMzMD,6763.2,3.8722222222222222,1.5968893298059965,2.0944444444444446
qKnMpxRY,3554.6,5.012345679012346,1.8919312169312168,2.0987654320987654
SKiMNIMM,1188.6000000000001,2.8461538461538463,1.3322649572649574,2.1025641025641026
UmOTXuBI,2252.9,3.8088235294117645,1.6316176470588235,2.1029411764705883
csCBEWsC,1318.2,5.344827586206897,1.605295566502463,2.103448275862069
nhaCduDJ,2313.6,8.027027027027026,1.8481981981981983,2.108108108108108
AdRTijed,2091.0,6.30188679245283,1.8017295597484275,2.1132075471698113
bvrDFeSh,2780.2,5.314285714285714,1.8340646258503401,2.1142857142857143
DsPCVuNR,3049.8,5.475409836065574,1.64192037470726,2.1147540983606556
dfsoEwDk,906.8,4.705882352941177,1.1627450980392156,2.1176470588235294
KAyEMNhS,3288.7,5.653333333333333,1.9146349206349207,2.12
tyvlwtXN,2659.9,3.634920634920635,1.2158352229780802,2.142857142857143
kwQjVeCa,1776.2,4.25,1.3233630952380953,2.15
PwQYcZwB,4220.9,6.632075471698113,2.680637915543576,2.150943396226415
uFvDbYzX,1688.3,4.7631578947368425,1.5505952380952381,2.1578947368421053
uJsOMJZe,5664.5,5.866666666666666,1.6554662698412699,2.158333333333333
tbgrwLqp,768.8,3.56,1.6433333333333335,2.16
nrkQwGWV,301.7,5.5,1.375,2.1666666666666665
